label|source_id|source_type|target_id|target_type|taxon_id
translates_to|ENST00000350249|transcript|Q13362|protein|NCBITaxon:9606
translates_to|ENST00000422945|transcript|Q13362|protein|NCBITaxon:9606
translates_to|ENST00000445439|transcript|Q13362|protein|NCBITaxon:9606
translates_to|ENST00000322088|transcript|P30153|protein|NCBITaxon:9606
translates_to|ENST00000311129|transcript|P30154|protein|NCBITaxon:9606
translates_to|ENST00000341980|transcript|P30154|protein|NCBITaxon:9606
translates_to|ENST00000393055|transcript|P30154|protein|NCBITaxon:9606
translates_to|ENST00000426998|transcript|P30154|protein|NCBITaxon:9606
translates_to|ENST00000527614|transcript|P30154|protein|NCBITaxon:9606
translates_to|ENST00000315985|transcript|P63151|protein|NCBITaxon:9606
translates_to|ENST00000380737|transcript|P63151|protein|NCBITaxon:9606
translates_to|ENST00000336640|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000394409|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000394411|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000394413|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000394414|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000453001|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000504198|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000508545|transcript|Q00005|protein|NCBITaxon:9606
translates_to|ENST00000455566|transcript|Q66LE6|protein|NCBITaxon:9606
translates_to|ENST00000335585|transcript|Q9Y2T4|protein|NCBITaxon:9606
translates_to|ENST00000382599|transcript|Q9Y2T4|protein|NCBITaxon:9606
translates_to|ENST00000506140|transcript|Q9Y2T4|protein|NCBITaxon:9606
translates_to|ENST00000507294|transcript|Q9Y2T4|protein|NCBITaxon:9606
translates_to|ENST00000515571|transcript|Q9Y2T4|protein|NCBITaxon:9606
translates_to|ENST00000369413|transcript|P14060|protein|NCBITaxon:9606
translates_to|ENST00000528909|transcript|P14060|protein|NCBITaxon:9606
translates_to|ENST00000369416|transcript|P26439|protein|NCBITaxon:9606
translates_to|ENST00000543831|transcript|P26439|protein|NCBITaxon:9606
translates_to|ENST00000262520|transcript|Q9H2F3|protein|NCBITaxon:9606
translates_to|ENST00000297679|transcript|Q9H2F3|protein|NCBITaxon:9606
translates_to|ENST00000417536|transcript|Q9Y3L3|protein|NCBITaxon:9606
translates_to|ENST00000649765|transcript|Q9Y3L3|protein|NCBITaxon:9606
translates_to|ENST00000435136|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000502260|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000503219|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000503393|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000504294|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000508385|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000511747|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000512014|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000513020|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000513095|transcript|P78314|protein|NCBITaxon:9606
translates_to|ENST00000366472|transcript|Q7L8J4|protein|NCBITaxon:9606
translates_to|ENST00000383791|transcript|O60239|protein|NCBITaxon:9606
translates_to|ENST00000408919|transcript|O60239|protein|NCBITaxon:9606
translates_to|ENST00000426925|transcript|O60239|protein|NCBITaxon:9606
translates_to|ENST00000294973|transcript|P46952|protein|NCBITaxon:9606
translates_to|ENST00000265395|transcript|P31937|protein|NCBITaxon:9606
translates_to|ENST00000219431|transcript|P29372|protein|NCBITaxon:9606
translates_to|ENST00000356432|transcript|P29372|protein|NCBITaxon:9606
translates_to|ENST00000397817|transcript|P29372|protein|NCBITaxon:9606
translates_to|ENST00000338825|transcript|Q13541|protein|NCBITaxon:9606
translates_to|ENST00000373218|transcript|Q13542|protein|NCBITaxon:9606
translates_to|ENST00000310331|transcript|O60516|protein|NCBITaxon:9606
translates_to|ENST00000330125|transcript|Q9NRA8|protein|NCBITaxon:9606
translates_to|ENST00000344710|transcript|Q9NRA8|protein|NCBITaxon:9606
translates_to|ENST00000397525|transcript|Q9NRA8|protein|NCBITaxon:9606
translates_to|ENST00000338663|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000377889|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000377890|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000377891|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000538084|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000544377|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000680631|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000681657|transcript|P08195|protein|NCBITaxon:9606
translates_to|ENST00000323865|transcript|P08908|protein|NCBITaxon:9606
translates_to|ENST00000369947|transcript|P28222|protein|NCBITaxon:9606
translates_to|ENST00000374619|transcript|P28221|protein|NCBITaxon:9606
translates_to|ENST00000305344|transcript|P28566|protein|NCBITaxon:9606
translates_to|ENST00000319595|transcript|P30939|protein|NCBITaxon:9606
translates_to|ENST00000542664|transcript|P28223|protein|NCBITaxon:9606
translates_to|ENST00000258400|transcript|P41595|protein|NCBITaxon:9606
translates_to|ENST00000276198|transcript|P28335|protein|NCBITaxon:9606
translates_to|ENST00000371950|transcript|P28335|protein|NCBITaxon:9606
translates_to|ENST00000371951|transcript|P28335|protein|NCBITaxon:9606
translates_to|ENST00000299961|transcript|P46098|protein|NCBITaxon:9606
translates_to|ENST00000355556|transcript|P46098|protein|NCBITaxon:9606
translates_to|ENST00000375498|transcript|P46098|protein|NCBITaxon:9606
translates_to|ENST00000504030|transcript|P46098|protein|NCBITaxon:9606
translates_to|ENST00000506841|transcript|P46098|protein|NCBITaxon:9606
translates_to|ENST00000260191|transcript|O95264|protein|NCBITaxon:9606
translates_to|ENST00000537778|transcript|O95264|protein|NCBITaxon:9606
translates_to|ENST00000318351|transcript|Q8WXA8|protein|NCBITaxon:9606
translates_to|ENST00000382489|transcript|Q70Z44|protein|NCBITaxon:9606
translates_to|ENST00000428798|transcript|Q70Z44|protein|NCBITaxon:9606
translates_to|ENST00000453435|transcript|Q70Z44|protein|NCBITaxon:9606
translates_to|ENST00000335304|transcript|A5X5Y0|protein|NCBITaxon:9606
translates_to|ENST00000415389|transcript|A5X5Y0|protein|NCBITaxon:9606
translates_to|ENST00000425359|transcript|A5X5Y0|protein|NCBITaxon:9606
translates_to|ENST00000436361|transcript|A5X5Y0|protein|NCBITaxon:9606
translates_to|ENST00000440596|transcript|A5X5Y0|protein|NCBITaxon:9606
translates_to|ENST00000360693|transcript|Q13639|protein|NCBITaxon:9606
translates_to|ENST00000377888|transcript|Q13639|protein|NCBITaxon:9606
translates_to|ENST00000517929|transcript|Q13639|protein|NCBITaxon:9606
translates_to|ENST00000520514|transcript|Q13639|protein|NCBITaxon:9606
translates_to|ENST00000521530|transcript|Q13639|protein|NCBITaxon:9606
translates_to|ENST00000521735|transcript|Q13639|protein|NCBITaxon:9606
translates_to|ENST00000522588|transcript|Q13639|protein|NCBITaxon:9606
translates_to|ENST00000287907|transcript|P47898|protein|NCBITaxon:9606
translates_to|ENST00000289753|transcript|P50406|protein|NCBITaxon:9606
translates_to|ENST00000277874|transcript|P34969|protein|NCBITaxon:9606
translates_to|ENST00000336152|transcript|P34969|protein|NCBITaxon:9606
translates_to|ENST00000371719|transcript|P34969|protein|NCBITaxon:9606
translates_to|ENST00000258761|transcript|Q9Y6E2|protein|NCBITaxon:9606
translates_to|ENST00000433922|transcript|Q9Y6E2|protein|NCBITaxon:9606
translates_to|ENST00000409226|transcript|Q7L1Q6|protein|NCBITaxon:9606
translates_to|ENST00000409600|transcript|Q7L1Q6|protein|NCBITaxon:9606
translates_to|ENST00000452790|transcript|Q7L1Q6|protein|NCBITaxon:9606
translates_to|ENST00000235628|transcript|Q9BXI3|protein|NCBITaxon:9606
translates_to|ENST00000304081|transcript|Q96P26|protein|NCBITaxon:9606
translates_to|ENST00000359846|transcript|Q96P26|protein|NCBITaxon:9606
translates_to|ENST00000409467|transcript|Q9H0P0|protein|NCBITaxon:9606
translates_to|ENST00000643244|transcript|Q9H0P0|protein|NCBITaxon:9606
translates_to|ENST00000435506|transcript|Q969T7|protein|NCBITaxon:9606
translates_to|ENST00000343289|transcript|P49902|protein|NCBITaxon:9606
translates_to|ENST00000404739|transcript|P49902|protein|NCBITaxon:9606
translates_to|ENST00000674696|transcript|P49902|protein|NCBITaxon:9606
translates_to|ENST00000675326|transcript|P49902|protein|NCBITaxon:9606
translates_to|ENST00000675985|transcript|P49902|protein|NCBITaxon:9606
translates_to|ENST00000676428|transcript|P49902|protein|NCBITaxon:9606
translates_to|ENST00000676449|transcript|P49902|protein|NCBITaxon:9606
translates_to|ENST00000257770|transcript|P21589|protein|NCBITaxon:9606
translates_to|ENST00000369651|transcript|P21589|protein|NCBITaxon:9606
translates_to|ENST00000270776|transcript|P52209|protein|NCBITaxon:9606
translates_to|ENST00000252603|transcript|O95336|protein|NCBITaxon:9606
translates_to|ENST00000300175|transcript|P05408|protein|NCBITaxon:9606
translates_to|ENST00000413748|transcript|P05408|protein|NCBITaxon:9606
translates_to|ENST00000614359|transcript|P05408|protein|NCBITaxon:9606
translates_to|ENST00000632219|transcript|P05408|protein|NCBITaxon:9606
translates_to|ENST00000632674|transcript|P05408|protein|NCBITaxon:9606
translates_to|ENST00000339737|transcript|P36639|protein|NCBITaxon:9606
translates_to|ENST00000343985|transcript|P36639|protein|NCBITaxon:9606
translates_to|ENST00000356714|transcript|P36639|protein|NCBITaxon:9606
translates_to|ENST00000397046|transcript|P36639|protein|NCBITaxon:9606
translates_to|ENST00000397048|transcript|P36639|protein|NCBITaxon:9606
translates_to|ENST00000397049|transcript|P36639|protein|NCBITaxon:9606
translates_to|ENST00000601302|transcript|P0DKL9|protein|NCBITaxon:9606
translates_to|ENST00000686077|transcript|P0DKL9|protein|NCBITaxon:9606
translates_to|ENST00000293350|transcript|Q8IZ83|protein|NCBITaxon:9606
translates_to|ENST00000455361|transcript|Q8IZ83|protein|NCBITaxon:9606
translates_to|ENST00000347464|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000373525|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000392017|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000392020|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000625501|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000626623|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000630066|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000630204|transcript|Q676U5|protein|NCBITaxon:9606
translates_to|ENST00000321297|transcript|Q8NAA4|protein|NCBITaxon:9606
translates_to|ENST00000259396|transcript|P02763|protein|NCBITaxon:9606
translates_to|ENST00000431067|transcript|P19652|protein|NCBITaxon:9606
translates_to|ENST00000616052|transcript|P20848|protein|NCBITaxon:9606
translates_to|ENST00000355814|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000393087|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000393088|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000402629|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000404814|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000437397|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000440909|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000448921|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000449399|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000489769|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000636712|transcript|P01009|protein|NCBITaxon:9606
translates_to|ENST00000263100|transcript|P04217|protein|NCBITaxon:9606
translates_to|ENST00000373993|transcript|Q9NQ94|protein|NCBITaxon:9606
translates_to|ENST00000373995|transcript|Q9NQ94|protein|NCBITaxon:9606
translates_to|ENST00000373997|transcript|Q9NQ94|protein|NCBITaxon:9606
translates_to|ENST00000374001|transcript|Q9NQ94|protein|NCBITaxon:9606
translates_to|ENST00000395495|transcript|Q9NQ94|protein|NCBITaxon:9606
translates_to|ENST00000414883|transcript|Q9NQ94|protein|NCBITaxon:9606
translates_to|ENST00000562196|transcript|Q5TYW2|protein|NCBITaxon:9606
translates_to|ENST00000324015|transcript|P08697|protein|NCBITaxon:9606
translates_to|ENST00000382061|transcript|P08697|protein|NCBITaxon:9606
translates_to|ENST00000450523|transcript|P08697|protein|NCBITaxon:9606
translates_to|ENST00000453066|transcript|P08697|protein|NCBITaxon:9606
translates_to|ENST00000618883|transcript|P08697|protein|NCBITaxon:9606
translates_to|ENST00000622842|transcript|P08697|protein|NCBITaxon:9606
translates_to|ENST00000306390|transcript|P02750|protein|NCBITaxon:9606
translates_to|ENST00000318602|transcript|P01023|protein|NCBITaxon:9606
translates_to|ENST00000299698|transcript|A8K2U0|protein|NCBITaxon:9606
translates_to|ENST00000539547|transcript|A8K2U0|protein|NCBITaxon:9606
translates_to|ENST00000295181|transcript|A7E2S9|protein|NCBITaxon:9606
translates_to|ENST00000409867|transcript|A7E2S9|protein|NCBITaxon:9606
translates_to|ENST00000442999|transcript|U3KPV4|protein|NCBITaxon:9606
translates_to|ENST00000249005|transcript|Q9NPC4|protein|NCBITaxon:9606
translates_to|ENST00000381278|transcript|Q9NPC4|protein|NCBITaxon:9606
translates_to|ENST00000401850|transcript|Q9NPC4|protein|NCBITaxon:9606
translates_to|ENST00000642412|transcript|Q9NPC4|protein|NCBITaxon:9606
translates_to|ENST00000236709|transcript|Q9UNA3|protein|NCBITaxon:9606
translates_to|ENST00000346798|transcript|P05067|protein|NCBITaxon:9606
translates_to|ENST00000348990|transcript|P05067|protein|NCBITaxon:9606
translates_to|ENST00000354192|transcript|P05067|protein|NCBITaxon:9606
translates_to|ENST00000357903|transcript|P05067|protein|NCBITaxon:9606
translates_to|ENST00000358918|transcript|P05067|protein|NCBITaxon:9606
translates_to|ENST00000440126|transcript|P05067|protein|NCBITaxon:9606
translates_to|ENST00000519948|transcript|Q96GX2|protein|NCBITaxon:9606
translates_to|ENST00000309502|transcript|P30542|protein|NCBITaxon:9606
translates_to|ENST00000337894|transcript|P30542|protein|NCBITaxon:9606
translates_to|ENST00000367235|transcript|P30542|protein|NCBITaxon:9606
translates_to|ENST00000367236|transcript|P30542|protein|NCBITaxon:9606
translates_to|ENST00000337539|transcript|P29274|protein|NCBITaxon:9606
translates_to|ENST00000610595|transcript|P29274|protein|NCBITaxon:9606
translates_to|ENST00000611543|transcript|P29274|protein|NCBITaxon:9606
translates_to|ENST00000618076|transcript|P29274|protein|NCBITaxon:9606
translates_to|ENST00000304222|transcript|P29275|protein|NCBITaxon:9606
translates_to|ENST00000241356|transcript|P0DMS8|protein|NCBITaxon:9606
translates_to|ENST00000253188|transcript|Q9NS82|protein|NCBITaxon:9606
translates_to|ENST00000232892|transcript|P22760|protein|NCBITaxon:9606
translates_to|ENST00000209873|transcript|Q9NRG9|protein|NCBITaxon:9606
translates_to|ENST00000394384|transcript|Q9NRG9|protein|NCBITaxon:9606
translates_to|ENST00000708962|transcript|Q9NRG9|protein|NCBITaxon:9606
translates_to|ENST00000708963|transcript|Q9NRG9|protein|NCBITaxon:9606
translates_to|ENST00000412532|transcript|Q15758|protein|NCBITaxon:9606
translates_to|ENST00000434726|transcript|Q15758|protein|NCBITaxon:9606
translates_to|ENST00000542575|transcript|Q15758|protein|NCBITaxon:9606
translates_to|ENST00000593713|transcript|Q15758|protein|NCBITaxon:9606
translates_to|ENST00000598022|transcript|Q15758|protein|NCBITaxon:9606
translates_to|ENST00000713951|transcript|Q15758|protein|NCBITaxon:9606
translates_to|ENST00000316519|transcript|Q86V21|protein|NCBITaxon:9606
translates_to|ENST00000393078|transcript|P01011|protein|NCBITaxon:9606
translates_to|ENST00000393080|transcript|P01011|protein|NCBITaxon:9606
translates_to|ENST00000467132|transcript|P01011|protein|NCBITaxon:9606
translates_to|ENST00000556968|transcript|P01011|protein|NCBITaxon:9606
translates_to|ENST00000337664|transcript|Q8N5Z0|protein|NCBITaxon:9606
translates_to|ENST00000353187|transcript|Q8N5Z0|protein|NCBITaxon:9606
translates_to|ENST00000509167|transcript|Q8N5Z0|protein|NCBITaxon:9606
translates_to|ENST00000515480|transcript|Q8N5Z0|protein|NCBITaxon:9606
translates_to|ENST00000261880|transcript|Q6PD74|protein|NCBITaxon:9606
translates_to|ENST00000542650|transcript|Q6PD74|protein|NCBITaxon:9606
translates_to|ENST00000561452|transcript|Q6PD74|protein|NCBITaxon:9606
translates_to|ENST00000406297|transcript|Q2M2I8|protein|NCBITaxon:9606
translates_to|ENST00000409085|transcript|Q2M2I8|protein|NCBITaxon:9606
translates_to|ENST00000229328|transcript|Q9Y478|protein|NCBITaxon:9606
translates_to|ENST00000541640|transcript|Q9Y478|protein|NCBITaxon:9606
translates_to|ENST00000254101|transcript|O43741|protein|NCBITaxon:9606
translates_to|ENST00000316299|transcript|P54619|protein|NCBITaxon:9606
translates_to|ENST00000548065|transcript|P54619|protein|NCBITaxon:9606
translates_to|ENST00000552212|transcript|P54619|protein|NCBITaxon:9606
translates_to|ENST00000287878|transcript|Q9UGJ0|protein|NCBITaxon:9606
translates_to|ENST00000392801|transcript|Q9UGJ0|protein|NCBITaxon:9606
translates_to|ENST00000418337|transcript|Q9UGJ0|protein|NCBITaxon:9606
translates_to|ENST00000476632|transcript|Q9UGJ0|protein|NCBITaxon:9606
translates_to|ENST00000651378|transcript|Q9UGJ0|protein|NCBITaxon:9606
translates_to|ENST00000651764|transcript|Q9UGJ0|protein|NCBITaxon:9606
translates_to|ENST00000652159|transcript|Q9UGJ0|protein|NCBITaxon:9606
translates_to|ENST00000439262|transcript|Q9UGI9|protein|NCBITaxon:9606
translates_to|ENST00000529249|transcript|Q9UGI9|protein|NCBITaxon:9606
translates_to|ENST00000393427|transcript|Q9H7C9|protein|NCBITaxon:9606
translates_to|ENST00000525034|transcript|Q9H7C9|protein|NCBITaxon:9606
translates_to|ENST00000526415|transcript|Q9H7C9|protein|NCBITaxon:9606
translates_to|ENST00000532481|transcript|Q9H7C9|protein|NCBITaxon:9606
translates_to|ENST00000248450|transcript|Q13685|protein|NCBITaxon:9606
translates_to|ENST00000354209|transcript|Q13131|protein|NCBITaxon:9606
translates_to|ENST00000397128|transcript|Q13131|protein|NCBITaxon:9606
translates_to|ENST00000371244|transcript|P54646|protein|NCBITaxon:9606
translates_to|ENST00000320849|transcript|Q9Y312|protein|NCBITaxon:9606
translates_to|ENST00000373932|transcript|Q9Y312|protein|NCBITaxon:9606
translates_to|ENST00000679667|transcript|Q9Y312|protein|NCBITaxon:9606
translates_to|ENST00000680247|transcript|Q9Y312|protein|NCBITaxon:9606
translates_to|ENST00000680639|transcript|Q9Y312|protein|NCBITaxon:9606
translates_to|ENST00000680811|transcript|Q9Y312|protein|NCBITaxon:9606
translates_to|ENST00000680933|transcript|Q9Y312|protein|NCBITaxon:9606
translates_to|ENST00000378279|transcript|Q4LEZ3|protein|NCBITaxon:9606
translates_to|ENST00000360221|transcript|Q9BTE6|protein|NCBITaxon:9606
translates_to|ENST00000427569|transcript|Q9BTE6|protein|NCBITaxon:9606
translates_to|ENST00000393376|transcript|Q9UDR5|protein|NCBITaxon:9606
translates_to|ENST00000417368|transcript|Q9UDR5|protein|NCBITaxon:9606
translates_to|ENST00000679511|transcript|Q9UDR5|protein|NCBITaxon:9606
translates_to|ENST00000679864|transcript|Q9UDR5|protein|NCBITaxon:9606
translates_to|ENST00000307599|transcript|Q8NHS2|protein|NCBITaxon:9606
translates_to|ENST00000370508|transcript|P17174|protein|NCBITaxon:9606
translates_to|ENST00000619387|transcript|Q9NY61|protein|NCBITaxon:9606
translates_to|ENST00000620004|transcript|Q9NY61|protein|NCBITaxon:9606
translates_to|ENST00000245206|transcript|P00505|protein|NCBITaxon:9606
translates_to|ENST00000434819|transcript|P00505|protein|NCBITaxon:9606
translates_to|ENST00000337334|transcript|Q7Z5M8|protein|NCBITaxon:9606
translates_to|ENST00000353130|transcript|Q7Z5M8|protein|NCBITaxon:9606
translates_to|ENST00000382029|transcript|Q7Z5M8|protein|NCBITaxon:9606
translates_to|ENST00000557345|transcript|Q7Z5M8|protein|NCBITaxon:9606
translates_to|ENST00000250974|transcript|Q96GS6|protein|NCBITaxon:9606
translates_to|ENST00000292577|transcript|Q96GS6|protein|NCBITaxon:9606
translates_to|ENST00000676686|transcript|Q96GS6|protein|NCBITaxon:9606
translates_to|ENST00000333421|transcript|Q5VST6|protein|NCBITaxon:9606
translates_to|ENST00000377041|transcript|Q5VST6|protein|NCBITaxon:9606
translates_to|ENST00000258884|transcript|Q6PCB6|protein|NCBITaxon:9606
translates_to|ENST00000558464|transcript|Q6PCB6|protein|NCBITaxon:9606
translates_to|ENST00000356785|transcript|Q7Z5R6|protein|NCBITaxon:9606
translates_to|ENST00000376236|transcript|Q7Z5R6|protein|NCBITaxon:9606
translates_to|ENST00000718302|transcript|Q7Z5R6|protein|NCBITaxon:9606
translates_to|ENST00000249116|transcript|P31941|protein|NCBITaxon:9606
translates_to|ENST00000402255|transcript|P31941|protein|NCBITaxon:9606
translates_to|ENST00000570508|transcript|P31941|protein|NCBITaxon:9606
translates_to|ENST00000623492|transcript|P31941|protein|NCBITaxon:9606
translates_to|ENST00000333467|transcript|Q9UH17|protein|NCBITaxon:9606
translates_to|ENST00000335760|transcript|Q9UH17|protein|NCBITaxon:9606
translates_to|ENST00000407298|transcript|Q9UH17|protein|NCBITaxon:9606
translates_to|ENST00000361441|transcript|Q9NRW3|protein|NCBITaxon:9606
translates_to|ENST00000216099|transcript|Q96AK3|protein|NCBITaxon:9606
translates_to|ENST00000308521|transcript|Q8IUX4|protein|NCBITaxon:9606
translates_to|ENST00000381565|transcript|Q8IUX4|protein|NCBITaxon:9606
translates_to|ENST00000407997|transcript|Q9HC16|protein|NCBITaxon:9606
translates_to|ENST00000348946|transcript|Q6NTF7|protein|NCBITaxon:9606
translates_to|ENST00000401756|transcript|Q6NTF7|protein|NCBITaxon:9606
translates_to|ENST00000442487|transcript|Q6NTF7|protein|NCBITaxon:9606
translates_to|ENST00000613677|transcript|Q6NTF7|protein|NCBITaxon:9606
translates_to|ENST00000374736|transcript|O95477|protein|NCBITaxon:9606
translates_to|ENST00000341511|transcript|Q9BZC7|protein|NCBITaxon:9606
translates_to|ENST00000371605|transcript|Q9BZC7|protein|NCBITaxon:9606
translates_to|ENST00000614293|transcript|Q9BZC7|protein|NCBITaxon:9606
translates_to|ENST00000301732|transcript|Q99758|protein|NCBITaxon:9606
translates_to|ENST00000567910|transcript|Q99758|protein|NCBITaxon:9606
translates_to|ENST00000370225|transcript|P78363|protein|NCBITaxon:9606
translates_to|ENST00000392676|transcript|Q8WWZ7|protein|NCBITaxon:9606
translates_to|ENST00000588877|transcript|Q8WWZ7|protein|NCBITaxon:9606
translates_to|ENST00000284425|transcript|Q8N139|protein|NCBITaxon:9606
translates_to|ENST00000590645|transcript|Q8N139|protein|NCBITaxon:9606
translates_to|ENST00000263094|transcript|Q8IZY2|protein|NCBITaxon:9606
translates_to|ENST00000269080|transcript|O94911|protein|NCBITaxon:9606
translates_to|ENST00000586539|transcript|O94911|protein|NCBITaxon:9606
translates_to|ENST00000340001|transcript|Q8IUA7|protein|NCBITaxon:9606
translates_to|ENST00000495634|transcript|Q8IUA7|protein|NCBITaxon:9606
translates_to|ENST00000269081|transcript|Q8WWZ4|protein|NCBITaxon:9606
translates_to|ENST00000522406|transcript|Q8WWZ4|protein|NCBITaxon:9606
translates_to|ENST00000523512|transcript|Q8WWZ4|protein|NCBITaxon:9606
translates_to|ENST00000690296|transcript|Q8WWZ4|protein|NCBITaxon:9606
translates_to|ENST00000272895|transcript|Q86UK0|protein|NCBITaxon:9606
translates_to|ENST00000389661|transcript|Q86UK0|protein|NCBITaxon:9606
translates_to|ENST00000417403|transcript|Q86UQ4|protein|NCBITaxon:9606
translates_to|ENST00000258738|transcript|Q2M3G0|protein|NCBITaxon:9606
translates_to|ENST00000404938|transcript|Q2M3G0|protein|NCBITaxon:9606
translates_to|ENST00000406935|transcript|Q2M3G0|protein|NCBITaxon:9606
translates_to|ENST00000443026|transcript|Q2M3G0|protein|NCBITaxon:9606
translates_to|ENST00000265316|transcript|Q9NP58|protein|NCBITaxon:9606
translates_to|ENST00000295750|transcript|Q9NP58|protein|NCBITaxon:9606
translates_to|ENST00000253577|transcript|O75027|protein|NCBITaxon:9606
translates_to|ENST00000339447|transcript|O75027|protein|NCBITaxon:9606
translates_to|ENST00000373394|transcript|O75027|protein|NCBITaxon:9606
translates_to|ENST00000280560|transcript|Q9NP78|protein|NCBITaxon:9606
translates_to|ENST00000344275|transcript|Q9NP78|protein|NCBITaxon:9606
translates_to|ENST00000346530|transcript|Q9NP78|protein|NCBITaxon:9606
translates_to|ENST00000392439|transcript|Q9NP78|protein|NCBITaxon:9606
translates_to|ENST00000442833|transcript|Q9NP78|protein|NCBITaxon:9606
translates_to|ENST00000540285|transcript|Q9NP78|protein|NCBITaxon:9606
translates_to|ENST00000542678|transcript|Q9NP78|protein|NCBITaxon:9606
